gardiner_num,hieroglyph,description,details,is_priority
A1,𓀀,Seated man,"Det. of man, names; Pronoun1st sing. i, wi, ink, kwi. “I,” “me,” “my.”",TRUE
A2,𓀁,Man with hand to mouth,"Det. of eat, drink, speak, think.",TRUE
A3,𓀂,Man sitting on heel,Det. of sit.,
A4,𓀃,Man with arms raised,"Det. adoration, hide",
A5,𓀄,Man hiding,Det. hide,
A5a,𓀅,,,
A6,𓀆,Man purifying,"Det. purity, cleanliness",
A6a,𓀇,,,
A6b,𓀈,,,
A7,𓀉,Fatigued man,"Det. weary, weak",
A8,𓀊,Man performing hnw,Det. in hnw “jubilation”,
A9,𓀋,Man with basket on head,"Det. in 3ṯp “load,” f3i “carry,” k3t “work.”",
A10,𓀌,Man holding an oar,Det. in sḳdw “sail.”,
A11,𓀍,Man with scepter and crook,Det. ḫnms “friend.”,
A12,𓀎,Man with bow and quiver,"Det. mšʿ “army,” soldier.",
A13,𓀏,Man with arms bound,Det. ḫfty “enemy.”,
A14,𓀐,Man with bleeding head,"Det. of mwt “die,” enemy.",
A14a,𓀑,Man with axe to head,Var. of A14,
A15,𓀒,Man falling,"Det. ḫr “fall,” sḫrt “overthrow.”",
A16,𓀓,Man bowing,Det. ksi “bow.”,
A17,𓀔,Child with hand to mouth,Det. šri “young.” Ideo. ẖrd “child.”,
A17a,𓀕,Child sitting,"Det. sit, young.",
A18,𓀖,Child wearing red crown,Det. child-king,
A19,𓀗,Aged man bending with stick,"Det. i3w “old,” smsw “eldest,” wr “great one, chief.”",
A20,𓀘,Man leaning on forked stick,Var. of A19.,
A21,𓀙,Man with stick,"Det. and Ideo. sr “official, noble.”",
A22,𓀚,Statue of man with stick and scepter,Det. statue.,
A23,𓀛,King with stick and mace,"Det. ity, “sovereign.”",
A24,𓀜,Man striking with stick in both hands,"Det. ḥwi, “strike,” nḥm “take away.” Ideo. nḫt strong.",
A25,𓀝,Man striking with stick in one hand,Det. hwi “strike.”,
A26,𓀞,Man beckoning,"Det. nis “call.” Ideo. vocative i, “Oh!”",
A27,𓀟,Man running,"Phon. in “by,” agent particle.",
A28,𓀠,Man with arms raised,"Det. ḳ3 “high,” ḥʿi “rejoice.”",
A29,𓀡,Man upside down,Det. upside down.,
A30,𓀢,Man with arms outstretched,"Det. i3w “praise,” dw3 “adoration.”",
A31,𓀣,Man with arms turned behind him,Det. turn away.,
A32,𓀤,Man dancing,Det. dance.,
A33,𓀦,Man with stick and bundle,"Det. wander, herdsman.",
A34,𓀧,Man pounding in a mortar,"Det. ḫwsi “pound, build.”",
A35,𓀨,Man building a wall,Det. and Ideo. ḳd “build.”,
A36,𓀩,Man straining into a vessel,Det. and Ideo. ʿfty “brewer.”,
A37,𓀪,Commoner form A36,Use as A36.,
A38,𓀫,Man holding two animal emblems,Ideo. ḳis/ḳsi “”Cusae” (town).,
A39,𓀬,Man holding two giraffes,Use as A38.,
A40,𓀭,Seated god,"Det. god. Replaces A1 as 1st sing pronoun when god speaks. i, wi, ink, kwi.",
A40a,𓀮,,,
A41,𓀯,Seated king,"Det. nsw “king,” ḥm “majesty,” nb “lord.”",
A42,𓀰,Seated king holding flail,Use as A41.,
A42a,𓀱,,,
A43,𓀲,King wearing white crown of Upper Egypt,Det. king of Upper Egypt.,
A43a,𓀳,,,
A44,𓀴,King holding flail and wearing white crown of Upper Egypt,Use as A43.,
A45,𓀵,King wearing red crown of Lower Egypt.,Det. and Ideo. bity “king of Lower Egypt.”,
A45a,𓀶,,,
A46,𓀷,King holding flail and wearing red crown of Lower Egypt.,Same as A45,
A47,𓀸,Seated sheperd,"Det. and Ideo. s3w “guard,” mniw “herdsman.”",
A48,𓀹,Man holding knife,Det. iry “relating to.”,
A49,𓀺,Foreigner with stick,"Det. foreigner, ʿ3mw “Asiatics.”",
A50,𓀻,Noble seated on chair,"Det. revered person, deceased. Var. A1 for 1st sing. pronoun.",
A51,𓀼,Noble seated on chair with flagellum,Det. and Ideo. špsi “noble”,
A52,𓀽,Kneeling noble with flail,"Det. revered person, deceased.",
A53,𓀾,Upright mummy,"Det. mummy, statue, likeness, form.",
A54,𓀿,Recumbent mummy,Det. dead.,
A55,𓁀,Mummy on bed,"Det. sḏr “lie down,” dead.",
A59,𓁄,Man threatening stick with one hand,Det. drive off.,
B1,𓁐,Seated Woman,"Det. woman, name. Sometimes for A1 1st sing. pronoun – i",TRUE
B2,𓁑,Pregnant woman,Det. pregnant,
B3,𓁒,Woman giving birth,"Det. and Ideo. msi “give birth, bear.”",
B4,𓁓,Var. B3,Use as B3.,
B5,𓁔,Woman nursing child,Det. mnʿt “nurse.”,
B6,𓁖,Woman and seated child,Det. rnn “nurse.”,
B7,𓁗,Seated queen holding flower,Det. queens’ names.,
C1,𓁚,God with sun-disk and uraeus,"Det. and Ideo. Rʿ “Re, sun-god”",
C2,𓁜,God with falcon head and sun-disk holding ʿnḫ,"Var. C1. Det. and Ideo. Rʿ “Re, sun-god”",
C3,𓁟,God with ibis head,Det. or Ideo. ḏḥwty “Thoth”,
C4,𓁠,God with ram head,Det. or Ideo. ẖnmw “Khnum”,
C5,𓁡,God with ram head holding ʿnḫ,Use as C4.,
C6,𓁢,God with jackal head,"Det. and Ideo. inpw “Anubis,” wp-w3wt “Wepwawet.”",
C7,𓁣,God with Seth head,Det. and Ideo. Stḫ “Seth.”,
C8,𓁤,Min,Det. and Ideo. Mnw “Min.”,
C9,𓁥,Goddess with horned sun-disk,Det. and Ideo.,
C10,𓁦,God with feather,Det. and Ideo. M3ʿt “Maat”,
C10a,𓁧,Goddess with feather holding ʿnḫ,Use as C10,
C11,𓁨,ḥḥ-figure,"Ideo. ḥḥ “million,” god Heh.",
C12,𓁩,Amun,Det. and Ideo. Imn “Amun.”,
C17,𓁮,Montu,Det. and Ideo Mntw “Montu.”,
C18,𓁯,Tatjenen,Det. and Ideo. t3-ṯnnii “Tatjenen.”,
C19,𓁰,Ptah,Det. and Ideo. Ptḥ “Ptah.”,
C20,𓁱,Variant C19,Use as C19,
D1,𓁶,Head,"Phono. tp. Det. or Ideo. for tp “head,” tpy “first, chief.” Det. ḏ3ḏ3“head.”",
D2,𓁷,Face,Phon. ḥr. Ideo. for ḥr “face.”,TRUE
D3,𓁸,Hair,"Det. for šny “hair,” iwn “complexion, nature.” Abbr. for gm wš “found missing.”",
D4,𓁹,Eye,"Phono. iri “to do, make.” Ideo. for irt “eye.”",TRUE
D5,𓁺,Eye with paint,"Det. for actions or conditions of the eye. ex. dgi “look,” šp “blind.”",
D6,𓁻,Eye with paint,Use as D5.,
D7,𓁼,Eye with paint,Det. for adorn and in ʿnw ” “Anu” (location).,
D8,𓁽,Eye enclosed,"Det. forʿnw “Turah,” ʿn “beautiful.”",
D9,𓁿,Eye weeping,Det. or Ideo. for rmi “weep.”,
D10,𓂀,Eye with falcon’s head marking,Det. or Ideo. for w3ḏt “wedjat eye.”,
D11,𓂁,White part of w3ḏt eye,1/2 ḥeqat measure of grain.,
D12,𓂂,Eye pupil,Det. for ḏfd “pupil of eye.”,
D13,𓂃,Eyebrow,1/8 ḥeqat measure of grain.,
D14,𓂄,White part of w3ḏt eye,1/16 ḥeqat measure of grain.,
D15,𓂅,Part of w3ḏt eye markings,1/32 ḥeqat measure of grain.,
D16,𓂆,Part of w3ḏt eye markings,1/64 ḥeqat measure of grain.,
D17,𓂇,Markings of w3ḏt eye,"Det. or Ideo. for tit “figure, image.”",
D18,𓂈,Ear,Det. or Ideo. for msḏr “ear.”,
D19,𓂉,"Eye, nose, and cheek","Det. or Ideo. for fnd “nose.” Det. sn “smell,” rš “rejoice.”",
D20,𓂊,Var. D19,Use as D19,
D21,𓂋,Mouth,Phon. r. Ideo. for r “mouth.”,TRUE
D22,𓂌,Mouth with two lines,Ideo. for rwy “2/3.”,
D23,𓂍,Mouth with three lines,Ideo. for ḫmt rw “3/4.”,
D24,𓂎,Upper lip with teeth,Det. or Ideo. for spt “lip.” Mistakenly used a F42.,
D25,𓂏,Lips with teeth,Det. or Ideo. for spty “lips.”,
D26,𓂐,Lips spewing water,"Det. for spit, spew. ex. psg “spit,” ḳʿ “spew out.”",
D27,𓂑,Breast,"Det. for breast, suckle. ex. mnḏ “breast”",
D27a,𓂒,Var. of D27,Use as D27.,
D28,𓂓,Two arms,Phono. k3. Ideo. for k3 “soul.”,
D29,𓂔,Var. of D28,Use as D28.,
D30,𓂕,Two arms with tail,"Det. for nḥb-k3w “Uniter of Attributes, Assigner of Kas,” name of mythical serpent deity.",
D31,𓂖,Combination of signs D32 and U36,Ideo. for ḥm-k3 “ka servent.”,
D32,𓂘,Two arms embracing,"Det. for embrace, open. ex. inḳ “envelop,” ḥpt “embrace.”",
D33,𓂙,Arms holding oar,Phono. ẖn. Ideo. for ẖni “row.”,
D34,𓂚,Arms with shield and axe,Ideo. for ʿḥ3 “fight”,
D34a,𓂛,Arms with shield and mace,Use as D34.,
D35,𓂜,Negative arms,"Phono. n. Ideo. for n and nn, “not.” Det. negation.",
D21,𓂝,Arm,"Phono. ʿ. Ideo. ʿ “arm, hand.”",TRUE
D37,𓂞,Arm holding sign X8,Phono. di in rdi “give.”,TRUE
D38,𓂟,Arm holding bread,Phono. mi or m. Det. for imi “give.”,
D39,𓂠,Arm holding W24,"Det. for offer, present. ex. ḥnk “present,” drp “offer.”",
D40,𓂡,Arm holding stick,"Det. for force, effort. ex. nḫt “strong.” Ideo. h3i “evaluate.”",
D41,𓂢,Arm with downward facing palm,"Phono. ni. Det. for arm. ex. rmn “arm, shoulder.”",
D42,𓂣,Arm with downward facing palm,Det. or Ideo. for mḥ “cubit”,
D43,𓂤,Arm with flail,Phono. ḫw. Ideo. for ḫwi “protect.,
D44,𓂥,Arm with scepter,"Det. and Ideo. for ḫrp “control, be at head of, administer.”",
D45,𓂦,Arm with brush,"Det. and Ideo. for ḏsr “clear road, sacred, holy.”",
D46,𓂧,Hand,Phono. d. Ideo. for ḏrt “hand.”,TRUE
D46a,𓂨,Hand with water,Ideo. for idt “fragrance.”,
D47,𓂩,Hand,Det. for ḏrt “hand” when spelled with Phono.,
D48,𓂪,Palm without thumb,"Ideo. šsp “palm, hand-breadth” (measure)",
D49,𓂬,Fist,"Det. for grasp. ex. 3mm “grasp,” ḫfʿ “seize.”",
D50,𓂭,Vertical finger,"Ideo. for ḏbʿ “finger,” ḏbʿ “10,000.” Det. for accurate, when doubled.",
D51,𓂷,Horizontal finger,"Det. for actions related to finger, fruit, flower. ex. ʿnt “nail,” ḫ3i “measure,” dḳr “fruit.”",
D52,𓂸,Penis,"Phono. mt. Det. for male. ex. ʿ3 “ass,” ṯ3y “male.” Ideo. k3 “bull.”",
D53,𓂺,Penis with liquid,"Det. for male, penis. ex. m b3ḥ “in the presence of” ḏr b3ḥ “since,” r b3ḥ “before.”",
D54,𓂻,Legs walking,Phono. iw in iwi “come.” Det. for motion.,TRUE
D55,𓂽,Legs walking (reverse of D54),"Det. for backwards. ex. ʿnn “turn back,” ḫtḫt “be reversed.”",
D56,𓂾,Leg,"Phono. pd. Det. for leg, foot. ex. rd “leg,” pd “knee.”",
D57,𓂿,Leg with T30,Det. for mutilate. ex. i3ṯ “be mutilated.”,
D58,𓃀,Foot,Phono. b. Ideo. for bw “place.”,TRUE
D59,𓃁,Foot with D36,Phono. ʿb,
D60,𓃂,Foot with water streaming,"Ideo. for wʿb “pure, clean.”",
D61,𓃃,Toes,Ideo. for s3ḥ “toe”,
D62,𓃄,Var. D61,Use as D61.,
D63,𓃅,Var. D61,Use as D61.,
E1,𓃒,Bull,"Det. of cattle. ex. ng “bull,” mnmnt “cattle.” Ideo. in k3 “bull.”",
E2,𓃓,Bull preparing to charge,"Det. in sm3 “fighting bull.” Ideo. in k3 nḫt “victorious bull,” (epithet of Pharaoh.)",
E3,𓃔,Calf,Det. in bḥs “calf”,
E4,𓃕,Sacred cow,Det. in ḥs3t “sacred cow.”,
E5,𓃖,Cow with calf,Det. in 3ms “show solicitude.”,
E6,𓃗,Horse,Ideo. or Det. in ssmt “horse.” Det. in ibr “stallion.”,
E7,𓃘,Donkey,Det. in ʿ3 “donkey.”,
E8,𓃙,Kid,"Phon. ib, “kid.” Det. in ʿwt “flocks.”",
E9,𓃚,Newborn bubalis,Phon. iw. In iwr “conceive.”,
E10,𓃛,Ram,"Det. in b3 “ram,” ẖnmw “Khnum,”ʿwt ḥḏt “white flocks, sheep”",
E11,𓃞,Ram,Use as E10,
E12,𓃟,Pig,Det. in rri “pig.”,
E13,𓃠,Cat,Det. in miw “cat.”,
E14,𓃡,Dog,"Det. in iw “dog,” ṯsm “hound.”",
E15,𓃢,Recumbent Jackal,"Det. or Ideo. in Inpw, “Anubis.”",
E16,𓃣,Recumbent Jackal on shrine,Use as E15.,
E17,𓃥,Jackal,Det. or Ideo. in s3b “jackal” and “dignitary.”,
E18,𓃧,Jackal on standard R12,"Det. or Ideo. in Wp-w3wt “Opener of ways, Wepwawet.”",
E19,𓃨,O.K. form of last,Use as E18,
E20,𓃩,Seth animal,"Det. or Ideo. in stẖ, stš “Seth.” Det. in ẖnnw “turmoil,” sh3 “confusion.”",
E21,𓃫,Recumbent Seth animal,"Det. in nšni “storm, rage.”",
E22,𓃬,Lion,Det. or Ideo. in m3i “lion”,
E23,𓃭,Recumbent Lion,Phon. rw. Det. or Ideo. in rw “lion.”,
E24,𓃮,Panther,"Det. or Ideo. in 3by “panther, leopard.”",
E25,𓃯,Hippopotamus,"Det. in db, dib “hippopotamus.”",
E26,𓃰,Elephant,Det. 3bw “elephant.” Ideo. in 3bw “Elephantine.”,
E27,𓃱,Giraffe,Det. sr “foretell.” Det. or Ideo in mmi “giraffe.”,
E28,𓃲,Oryx,Det. in m3ḥḏ “oryx.”,
E29,𓃴,Gazelle,Det. in gḥs “gazelle.”,
E30,𓃵,Ibex,"Det. in n3w, nr3w, ni3 “ibex.”",
E31,𓃶,Goat with collar,"Det. in sʿḥ “rank, privilege.”",
E32,𓃷,Baboon,"Det. in iʿn “baboon,” ky “monkey,” qnd “furious.”",
E33,𓃸,Monkey,"Det. gf, gif “monkey.”",
E34,𓃹,Hare,Phono. wn. wnn “be.”,
F1,𓃾,Head of ox,Ideo. in offering formulas for k3 “cattle.”,
F2,𓄀,Head of charging ox,Det. in ḏnd “rage.”,
F3,𓄁,Head of hippopotamus,"Phono. 3t. Det. or Ideo. in “moment, attack.”",
F4,𓄂,Forepart of lion,"Ideo. in ḥ3t “front,” ḥ3ty “heart.”",
F5,𓄃,Head of bubalis,Phon. šs3. Det. and Ideo. in šs3 “skilled” and “prayer.”,
F6,𓄄,Forepart of bubalis,Use as F5,
F7,𓄅,Head of ram,"Det. in šft “ram’s head.” Det. or Ideo. in šfyt “worth, dignity.”",
F8,𓄆,Forepart of ram,Use as F7,
F9,𓄇,Head of leopard,Det. or Ideo. in pḥty “strength.”,
F10,𓄈,Head and neck of animal,"Det. in ḫḫ “throat,” ʿm “swallow.”",
F11,𓄉,O.K. form of F10,Use as F10,
F12,𓄊,Head and neck of jackal,Phon. wsr. Ideo in wsrt “neck.” In wsr “powerful”,
F13,𓄋,Horns of ox,"Phon. wp. Ideo. in wpt “brow, beginning.”",
F14,𓄍,Combination of F13 and M4,Ideo. wpt-rnpt “Opening of the Year.”,
F15,𓄎,Combination of F14 and N5,Use as F14,
F16,𓄏,Horn,"Phono. ʿb. Det. or Ideo. in db “horn,” ʿb “horn.” In m-ʿb “together with.”",
F17,𓄐,Combination of F16 and D60 water vessel,Det. or Ideo. in ʿbw “purification.”,
F18,𓄑,Tusk of elephant,"Phono. bḥ, ḥw. Det. and Ideo. in ibḥ “tooth.” Det. in sbḥ “cry.”",
F19,𓄒,Jawbone of ox,Det. in ʿrt “jaw.”,
F20,𓄓,Tongue,Phono. ns. In ns “tongue.” Ideo. in imy-r “overseer.”,
F21,𓄔,Ear of ox,"Phono. sḏm, idn. Det. or Ideo. in msḏr “ear. Ideo. sḏm, “hear.”",
F22,𓄖,Hindquarters of leopard or lion,"Phono. pḥ in “reach,” pḥty “strength.” Ideo. for pḥwy “end.”",
F23,𓄗,Foreleg of ox,"Det. or Ideo. in ḫpš “strong arm, leg.”",
F24,𓄘,Reverse of F23,Use as F23.,
F25,𓄙,Leg and hoof of ox,"Phono. wḥm in “hoof,” “repeat.”",
F26,𓄚,Goatskin,"Phono. ẖn. In ẖnw “interior,” ẖn “approach.”",
F27,𓄛,Cowskin,"Det. in dḥr “hide,” msk3 “skin.”",
F28,𓄜,Var. of F27,Phono. s3b.,
F29,𓄝,Combination of F28 + arrow,"Phono. st. Det. and Ideo. sti “pierce, shoot.”",
F30,𓄞,Water skin,"Phono. šd. In šdi “draw forth,” šdw “water skin.”",
F31,𓄟,Three fox skins,Phono. ms. In msi “give birth.”,
F32,𓄡,Animal belly and tail,"Phono. ẖ. Ideo. in ẖt “belly, body.”",
F33,𓄢,Tail,Phono. sd. Det. and Ideo in sd “tail.”,
F34,𓄣,Heart,Ideo. in ib “heart.” Det. of ” ḥ3ty “heart.”,
F35,𓄤,Heart and windpipe,"Phono. nfr. In nfr “good, beautiful.”",
F36,𓄥,Lung and windpipe,Phono. sm3. In sm3 “unite” and “lung.”,
F37,𓄦,Backbone and ribs,Det. or Ideo. in i3t “back.” Det. in psd “back.”,
F38,𓄨,Var. of F37,Det. in psd “back.”,
F39,𓄪,Backbone and spinal cord,Det. and Ideo. in im3ḫ “spine” and “honor.”,
F40,𓄫,Backbone and spinal cord at each end,Phono. 3w.,
F41,𓄬,Vertebrae,Det. in psd “back.”,
F42,𓄭,Rib,Phono. spr. In spr “approach.”,
F43,𓄮,Ribs,Det. in sḥpt “ribs.”,
F44,𓄯,Leg bone with meat,"Phono. iwʿ, isw. In iwʿ inherit,” siw “exchange.”",
F45,𓄰,Heifer uterus,"Det. or Ideo. in dit “vulva, cow.”",
F46,𓄲,Intestine,"Ideo. in q3b “instestine,” m-q3b “in the midst of” pḫr “turn.”",
F47,𓄴,Var. of F46,Use as F46.,
F48,𓄶,Var. of F46,Use as F46.,
F49,𓄷,Var. of F46,Use as F46.,
F50,𓄸,Combination of F46 and S29,"Phono. spḫr, “write, copy.”",
F51,𓄹,Piece of flesh,"Phono. is, ist, ws. Det. ḥʿ “flesh,” iwf “meat.”",
F52,𓄽,Excrement,Det. in ḥs “excrement.”,
G1,𓄿,Vulture,Phono. 3. In 3 “vulture.’,TRUE
